Form,What's your cohort?,Hiring Company,Job Title,Salary,"Job location (City, Country)","Date you first got a job offer, coming out of Makers Academy","How many companies did you interview with, before you got your first offer?",Date you accepted this job offer,Date you start this job you've accepted,"How many companies did you interview with, before you got this offer that you're accepting?",What tech will you be working with?,How did you get this job?,Tell us more,What did we do well?,How could careers support at Makers be improved?,How likely are you to recommend the Makers Academy Careers Team to future cohorts?,Conversion Date,Conversion Title,Contact ID,NPS
CongratsForm888,September 2024 ra,DVLA Civil Service,Graduate Cloud Engineer,30000,"Swansea, Wales",01/06/2025,4,01/06/2025,24/09/2025,5,"AWS, Azure, Docker, Typescript, React, Kubernetes, Github Actions, Terraform IaC",Apply direct on company website,,Cloud Specialism course was surprisingly very helpful as everything we studied is what is currently used in the industry. I found this very informative and I believe it is what helped me stand out amongst other candidates,"Some aspects of the course felt a bit rushed or not enough content, maybe spend some more time on some topics and the cloud specialism feel a little too focused on self study when compared to the previous python specialism",10,2025-06-16 09:09:07,Form,54204951,Promoter
CongratsForm887,September 2023,Kraken Technologies,Associate Software Engineer,32500,"London, UK",27/05/2025,20,25/04/2025,27/05/2025,20,"Python, Django",Other,,"Thanks to your career coach Becks, I learned how to better showcase my existing skills.","I believe that if I had had sessions with Becks earlier, I would have definitely found a job faster. I think helping alumni represent their unique story is crucial.",10,2025-05-27 23:02:05,Form,54901901,Promoter
CongratsForm886,September 2024 Quality Engineering,Aiimi,Junior QA Engineer,30000,"Milton Keynes, United Kingdom",14/05/2025,7,14/05/2025,19/05/2025,7,"Playwright, Postman, Docker",Job Board,,"Lots of different sessions, workshops, learning opportunities and avenues for support, as well as chances to meet other people and share experiences (and commiserations) of our job hunting journeys.","Nothing really. It's incredibly tough and I think the team really focus on resilience, as well as sharing interesting opportunities and resources.",10,2025-05-22 14:57:22,Form,1970251,Promoter
CongratsForm885,May 2025,ClearRoute,Quality Cloud Engineer,35000,London,03/04/2025,3,03/04/2025,06/05/2025,3,"Kubernetes, Terraform, GCP, AWS, Docker, Python and more tbc!",Personal contact/referral,,You taught me how to code and how to be resourceful,Calendar of coding events like London.js and some kind of easy apply through Makers?,9,2025-05-13 14:31:51,Form,6472400607,Promoter
CongratsForm884,June 2023,Liberis,Associate software developer,32000,"London, UK",17/04/2025,10,17/04/2025,27/05/2025,10,C# fintech,Makers Hiring Partner,,Finding the job and communicating interview details,More hiring partners!,5,2025-04-30 10:23:20,Form,56730901,Detractor
CongratsForm883,July 24,Liberis,Associate Software Engineer,32000,"London, England.",17/04/2025,6,17/04/2025,27/05/2025,6,"C#, .NET, React and GCP (Google Cloud Platform)",Makers Hiring Partner,,Good workshops and talks - practice interviews are great - great coaches,More hiring partners - More 1-1 application reviews (I realise that may be difficult with the small application deadlines.),8,2025-04-22 14:02:22,Form,8778993345,Passive
CongratsForm882,Oct-2023,Clippd,Junior Software Engineer,32000,London,28/03/2025,2,03/04/2025,10/04/2025,4,"Python, AWS, TypeScript, Next.js,",Makers Hiring Partner,,"Apprenticeship opportunities (exclusive or otherwise) were posted on Alumni Slack channel, giving us up to date opportunities. Becks' posting job opportunities on the job-hunter slack channel and general support. Useful workshops to keep us motivated.","I can't remember if there was one but a clearer post-grad roadmap would help for right after graduation. Even a one-pager or kickoff session for actionable next steps. More support around networking/LinkedIn/personal branding strategy would also be great. I believe this is currently being addressed. Apprenticeship comms could be more transparent, though that may fall outside careers.",8,2025-04-19 10:01:12,Form,5357035467,Passive
CongratsForm881,September 2024,Liberis,Associate Software Engineer,32000,London,17/04/2025,2,17/04/2025,28/04/2025,2,Python and C#,Makers Hiring Partner,,Everything Becks does. All really helpful and supportive.,There’s nothing I can think of at the moment.,9,2025-04-17 13:32:51,Form,27986642384,Promoter
CongratsForm880,May 2024,Clippd Limited,Junior Software Engineer,32000,"London, UK",28/03/2025,1,31/03/2025,07/04/2025,1,"TypeScript, Python, AWS, React, ReactNative, Garmin",Makers Hiring Partner,,Continuous support throughout the job hunt,It's already really good!,10,2025-04-09 12:54:56,Form,70071201,Promoter
CongratsForm879,September 2024,Thales,Data Engineer Apprenticeship,32000,London,12/03/2025,5,12/03/2025,01/09/2025,5,"Python, SQL",Makers Hiring Partner,,"Interview skills, and leaning on solid examples from previous experience to talk about during behaviour interview.",My placement coach has been almost non existent. I've had to rearrange meetings but struggled to have another meeting put in.,8,2025-03-17 10:52:58,Form,14938899659,Passive
CongratsForm878,September 2024,Thales,Data Engineering Apprentice,32000,Crawley,12/03/2024,1,12/03/2024,01/09/2024,1,"Unknown (assume python, apache spark, kafka, hadoop etc)",Makers Hiring Partner,,Practise interview and feedback before the actual interview.,Offer coding challenges support / practise,9,2025-03-15 09:02:45,Form,70669751,Promoter
CongratsForm877,Jan-2024,Thales,Apprentice Data Engineer,32000,Crawley United Kingdom,12/03/2025,4,12/03/2025,01/09/2025,4,SQL - Python - ETL scripts -,Makers Hiring Partner,,Providing apprentice opportunities and support around the interviews. Especially Becks - really positive and uplifting and always makes you feel as if she had time for you.,It’s hard to say - it’s a really tough market so it feels like Makers support where they can.,9,2025-03-14 11:49:01,Form,,Promoter
CongratsForm876,July 21,N/A,N/A,500000,N/A,01/01/2999,0,01/01/2999,01/01/2999,0,N/A,Other,N/A,N/A,Communicate with people who have applied for apprenticeships with you,5,2025-03-03 18:38:47,Form,34020151,Detractor
CongratsForm875,September 23,StuRents,Junior Full Stack Engineer,35000,"Manchester, England",27/02/2025,10,27/02/2025,24/03/2025,10,"PHP, Javascript, AWS",Other,Contacted the CTO of the company directly,N/A,Jobs that aren't just apprenticeships / if you're doing the bootcamp say if you want to do an apprenticeship after it will have to be in something else other than your specialty,4,2025-02-28 15:12:40,Form,62443351,Detractor
CongratsForm874,,FSP,Support Developer Apprentice,21000,Reading,14/02/2025,4,15/02/2025,08/09/2025,4,JavaScript and Azure,Apply direct on company website,,Learnt a lot which let me talk technically much easier and overall surrounding myself around other developers pushed me wanting to get better,"I have no suggestions, I think its great already",7,2025-02-21 13:11:36,Form,66748601,Passive
CongratsForm873,Sept 24 RA,Paddle,Associate Solutions Architect,50000,London/Remote,17/02/2025,4,18/02/2025,04/03/2025,4,Mainly javascript but likely to involve other languages dependant on clients needs,Apply direct on company website,,Daily job advert postings in external jobs were really helpful,I haven't actually participated much in the workshops since finishing the course so I can't comment too much. I would say that it may be worth encouraging people to look at adjacent roles to software engineering as the market is so tough right now,7,2025-02-19 21:20:17,Form,179560317161,Passive
CongratsForm872,May-24,Tiney,Junior Software Engineer,40000,London,15/11/2024,3,18/02/2025,03/03/2025,7,"Typescript, React",Other,Contacted by the Head of People on cord,technical interview prep - Kerry & Lotte were super helpful in my session!,More materials on system design (which I think is being looked into already!) - two of my interviews were system design focused!,8,2025-02-19 15:50:01,Form,65878251,Passive
CongratsForm871,September 2024 Onsite,Depop,Software Engineer,35000,London,12/02/2025,3,13/02/2025,10/03/2025,3,Python and Scala,Makers Hiring Partner,,The accelerator program is a really fantastic opportunity,The careers support has been good,8,2025-02-19 13:10:56,Form,68729401,Passive
CongratsForm870,July 24,ForLoop Consulting,Software Developer,28500,Brighton,14/02/2025,1,14/02/2025,10/03/2025,1,"Typescript, Python",Job Board,,The course.,The only good opportunities makers gives are apprenticeship's.,8,2025-02-18 10:14:44,Form,10491692011,Passive
CongratsForm869,2024 march to july,Seaglass Cloud Technology,Software Developer,30000,Oxford,22/11/2024,1,24/11/2024,20/01/2025,1,Full stack. React JS. Python serverless. AWS cloud and SQL databases.,Job Board,,Courses for further learning. Continued CV and Job hunting advice.,More organised networking events either at makers or externally.,7,2025-02-17 22:34:41,Form,69068101,Passive
CongratsForm868,Jan 2024,Trainline,Junior Engineer,38000,"London, United Kingdom",10/02/2025,2,10/02/2025,04/03/2025,2,Kotlin,Job Board,,Great SD bootcamp and useful info for job searching,It’s already great as it is,10,2025-02-15 08:46:01,Form,68048801,Promoter
CongratsForm867,May 2024 - Remote,NSPCC,Policy & Public Affairs Assistant,22932,Cardiff / hybrid,16/12/2024,6,21/12/2024,17/02/2025,6,N/A,Apply direct on company website,,"Having brilliant careers and pastoral support definitely helped. Although my role isn't in tech, it has research and data elements and my manager said that these skills definitely made me stand out and give me big potential for growth within the organisation.",I don't have any negative feedback,8,2025-01-30 11:46:07,Form,68080001,Passive
CongratsForm866,September 23,Palantir,Forward Deployed Data Engineer,40000,"London, England",10/01/2025,9,10/01/2025,27/01/2025,9,"Python, SQL, Airflow, Mesa",Makers Hiring Partner,,Great highlighting of both internal and external opportunities. The continued workshops were valuable for reinforcing learned skills. Guest speakers gave great insights into their own journeys.,"It would be interesting to have sessions focused on understanding the ""day-to-day"" experiences of developers, looking at the realistic the types and scales of tickets they're facing - As the bridge between Makers and the real-world is not always clear",10,2025-01-29 13:33:39,Form,63147351,Promoter
CongratsForm865,July 24,Accenture,Modern Engineering Graduate,36400,"Bristol, UK",21/01/2025,4,21/01/2025,05/03/2025,3,"Software, data, cloud, AI, IoT, DevOps",Apply direct on company website,,Everyone at makers was amazing - particularly Kerry who went out her way to have two sessions with me ahead of my technical interview. All the coaches helped me believe in myself and I’m so grateful.,The support I received from my careers coach wasn’t that good to be honest. Becks and Sandy are amazing though!,10,2025-01-28 23:39:34,Form,9506442707,Promoter
CongratsForm864,July 2024,Palantir Technologies Inc.,Data Engineer Apprentice,40000,London,10/01/2025,1,10/01/2025,27/01/2025,1,n/a,Makers Hiring Partner,,"Support, communication, bring realistic job opportunities ...",n/a,10,2025-01-28 11:06:06,Form,51874451,Promoter
CongratsForm863,July 2024,Palantir Technologies Inc.,Data Engineer Apprentice,40000,London,10/01/2025,1,10/01/2025,27/01/2025,1,n/a,Makers Hiring Partner,,"Support, communication, bring realistic job opportunities ...",n/a,10,2025-01-28 10:54:00,Form,51874451,Promoter
CongratsForm862,,Palantir,Forward Deployed Data Engineer,40000,"London, England",10/01/2025,2,10/01/2025,27/01/2025,2,"Tooling will be project/client specific, however this includes (but not limited to) Python, Typescript, SQL and Spark.",Makers Hiring Partner,,"End-to-end support from application to job offer, acceptance and start date.",Keep building and maintaining employer partnerships - my new role comes directly as a result of Makers x Palantir.,10,2025-01-27 16:23:23,Form,55133451,Promoter
CongratsForm861,May 2024,Trainline,Junior Developer,38000,London,21/01/2025,1,21/01/2025,18/02/2025,1,"Dot net, C#",Personal contact/referral,,"The course, one on one careers meetings and interview prep",A few more check in between meetings,8,2025-01-24 13:04:24,Form,5059817977,Passive
CongratsForm860,Jan 24 (start),Palantir,Data Engineer Apprentice,40000,London,10/01/2025,10,10/01/2025,27/01/2025,10,"python, sql, but to be honest, im not 100% certain",Makers Hiring Partner,,"Clear support and process throughout, even when there was some time when things weren't originally as they were described","It would be great if there were more people like Becks. She was instrumental in helping me become a better interviewer and candidate. Kerry was also instrumental too, giving me the skill to tackle coding interviews.",10,2025-01-23 16:32:42,Form,60107451,Promoter
CongratsForm859,May 2024,Clear Channel International,Junior Engineer / Digital,40000,London,11/12/2024,3,13/12/2024,22/01/2025,3,"React, Node.JS, Typescript and Python",Going to a meetup,,"LinkedIn and CV review/tips, mock technical and non-technical interviews, workshops & career coaching support","perhaps share more events in the chats so students are aware and can attend and in this tough market doing things outside the box is crucial, so perhaps provide several examples so people can apply them if suitable. I knew I had to do something different to stand out, but wasn't sure what, so having examples can inspire you + give you ideas.",10,2024-12-19 11:44:37,Form,67827251,Promoter
CongratsForm858,May 24,First News,Junior Software Developer,32000,London,05/12/2024,3,10/12/2024,06/01/2025,3,A big mix,Other,"I applied for a role that didn’t work out but the recruiter was a ex developer with his own small recruitment form and he liked the effort I put in to the original application and my background/career switch. He reached out to an Ed tech company he had hired for before and facilitated a meet (purely out of kindness). They weren’t hiring but liked me enough to give me a short term opportunity to work on the dev team, where I would also give them some insight for their educational products from a ex-teachers perspective. Two weeks in, they offered a permanent position! It felt very “meant to be”.",Very comprehensive course. Approachable coaches. Holistic learning experience. Perfect balance of learning and application.,"I’m not sure, sorry!",8,2024-12-11 20:29:24,Form,64129401,Passive
CongratsForm857,r1-dfe,Makers - Depop,Analytics Engineer,35000,London,31/10/2024,1,31/10/2024,09/12/2024,0,"Python, SQL, Looker",Makers Hiring Partner,,Job Support and keeping me motivated,"Better communication and replies on Slack email, 9/10 I would have to chase a few days later",8,2024-12-09 16:44:57,Form,60075801,Passive
CongratsForm856,January 2024,Compare the Market,Junior data engineer,31000,London,22/12/2024,0,05/12/2024,21/01/2025,0,Unsure as of yet - most likely python at least,Makers Hiring Partner,,The hiring partners provide great opportunities that may be hard to find otherwise. Also Becks is always great at reading over CVs and cover letters,N/a,10,2024-12-05 18:12:40,Form,51932851,Promoter
CongratsForm855,May 2024,Sedna,Service Delivery Manager,74000,UnitedKingdom,16/09/2024,95,23/09/2024,30/09/2024,95,None,Recruiter,,"The on-site, python course, was handled really well",connect us to companies who are looking for apprentices a bit better e.g. have slots ready in advance with selected companies,8,2024-11-30 15:34:23,Form,4173886684,Passive
CongratsForm854,Sep 2024,Novem AS,COO,10000,"London, UK",01/01/2024,0,01/01/2024,01/01/2024,0,"Python, Html, JS",Other,,n/a,n/a,8,2024-11-24 19:43:47,Form,29678730713,Passive
CongratsForm853,Jan-O-24,QuickFisco,Junior Backend Engineer,25000,"Milan, Italy",30/10/2024,2,04/11/2024,04/11/2024,2,"Golang, React",Personal contact/referral,,"Becks has been of incredible support throughout these past months on job searching techniques, sharing job ads, CVs and keeping our morale up. Also, now that I have started working I realise how much Makers has given us in terms of the ability to learn and best industry standards.","A more structured support within the curriculum itself (e.g. studying an additional language like Swift for only two weeks could be replaced by a stricter module to follow on fixing CVs, writing Cover Letters, replacing pair programming with Tech Tests simulations etc.). It felt that overall, the tools and strategies at our disposal (or mine at least) weren't strong enough to face the current job market without a referral.",6,2024-11-11 12:41:11,Form,59949451,Detractor
CongratsForm852,May 24,United Energy Corporation,Consultant,52000,"North Dakota, USA",05/11/2024,2,05/11/2024,11/11/2024,2,".net primarily, azure/aws/tensorflow for ML",Personal contact/referral,,"I was encouraged by Steve to go above and beyond what Makers offers and work on a solo project that seemed at the time impossible and encouraged me to learn how stuff like tensorflow, AWS works and how to account for hardware optimization. The project showcased to the employer that my learning objectives were in lone with some of the business transformations required",Focus more on coaching people to develop their own opportunities and they will get hired. Asked them to compete against CS graduates and they will fail.,8,2024-11-06 16:01:50,Form,69898001,Passive
CongratsForm851,May 2024,Clarksons plc,Junior Data Analyst,30000,London,16/10/2024,10,18/10/2024,04/11/2024,10,"Python, SQL, databricks, Azure Dev ops",Personal contact/referral,,Ensuring we had materials and understanding on how to get a job within the tech industry,More portfolio ideas for projects and connecting alumni together,8,2024-11-06 07:11:04,Form,58268501,Passive
CongratsForm850,Oct 2023,Conference Badges,Events Technician,28000,london,30/10/2024,9,30/10/2024,12/11/2024,9,"SQL, Visual Basic, Printers",Makers Hiring Partner,,Regularly post jobs ads,Check in more.,8,2024-11-05 15:22:26,Form,65768751,Passive
CongratsForm849,March 2024,S2 Partnerships,Software Developer,32000,Cambridge,29/10/2024,3,30/10/2024,13/11/2024,3,LAMP stack but the company is tech agnostic,Other,Got headhunted by their HR team.,"Career advice, support and help with how to approach & navigate the tech job market was really useful.",I think continue with workshops.,10,2024-10-30 10:53:22,Form,68306851,Promoter
CongratsForm848,Oct-2023,Feebris,Junior Software Engineer (Intern),35000,"London, UK",17/10/2024,4,18/10/2024,04/11/2024,4,"TypeScript, React and Node",Apply direct on company website,,Provided useful resources. Interview practice with Coach.,More links to external jobs.,9,2024-10-22 11:50:13,Form,48247001,Promoter
CongratsForm847,October 2023,Unibuddy,Junior Software Engineer,35000,London,14/08/2024,4,15/08/2024,14/10/2024,4,"AWS, ReactJS, TypeScript, NestJS, Python, MongoDB, and Cypress.",Job Board,,The careers support was practical and prepared me well for applications / interviews. The 1-1 technical support I received for one of my initial tech tests was particularly helpfull.,Invite companies (regardless of whether they're currently hiring) to graduation demos. I know school of code recently had 15+ companies attend one of their cohorts graduation demos.,8,2024-10-09 11:13:31,Form,61350901,Passive
CongratsForm846,July2024,Invertase,Junior Software Developer,23000,Remote,30/09/2024,1,30/09/2024,04/11/2024,1,Dart/Flutter and more they may want me to learn,Other,Job Copilot tester which was offered at Maker's,Being approachful and friendly. Explaining things really well.,Nothing that I can think of,10,2024-10-08 18:56:31,Form,17132813259,Promoter
CongratsForm845,Oct-23,FireHawk Funerals,Software Developer,27000,Remote,10/09/2024,4,08/10/2024,16/09/2024,4,"Javascript, Python, xCode, Twig.",Job Board,,Makers support is the best part of Makers Academy.,I felt I was supported very well post Makers training.,10,2024-09-17 13:17:38,Form,60657151,Promoter
CongratsForm844,February 2023,Apple,Software Engineering Apprentice,38000,London,30/08/2024,15,30/08/2024,09/09/2024,15,"Javascript, Kotlin, Python",Makers Hiring Partner,,"Starting from having a meeting every other day with job-hunters kept me motivated. I received a huge support from Kay, Sandy and Becks. Especially Becks has been very responsive at any time I messaged her and not only about careers, job offers and interviews. She helped with her expertise and empathy after I got the job offer. I am extremely grateful for all this support I received. I was even invited to attend mock interviews, and workshops.","I think that tech tests and pair programming as mock interviews, would be very useful",10,2024-09-09 18:13:26,Form,63786251,Promoter
CongratsForm843,March 24,VET.CT,Junior Software Developer,35000,remote,04/09/2024,1,06/09/2024,30/09/2024,1,"react, typescript",Job Board,,"I found this job from Becks posting in the slack channel, had a meeting to prep with Hunor before hand which was so so helpful",not sure- i was really happy with the support,9,2024-09-06 11:17:10,Form,57671201,Promoter
CongratsForm842,,Solirius Consulting,Consultant Test Engineer,36000,London,30/08/2024,2,05/09/2024,14/10/2024,2,"Python, Playwright",Apply direct on company website,,"Great careers support - I really found the session on navigating job boards helpful, I ended up finding and applying for this role on Workable.",n/a,10,2024-09-05 15:32:46,Form,66048651,Promoter
CongratsForm841,May 24 Onsite,Citi,Solution Architect,91000,London,09/09/2024,1,01/08/2024,09/09/2024,1,"Python, Javascript, SQL",Personal contact/referral,,Workshops/1-1s, -,10,2024-09-04 16:18:11,Form,71222751,Promoter
CongratsForm840,March 23,Sky,Software Engineering Apprentice,27000,London,01/05/2024,20,01/05/2024,25/09/2024,20,unsure,Apply direct on company website,,Good and clear communication,More opportunities,5,2024-09-03 13:55:34,Form,54508901,Detractor
CongratsForm839,jan-2024-foundations-r1 / march-2024-cloud-engineering,The Governing Council of the Cat Fancy,IT Apprentice,21000,"Bridgwater, UK",24/07/2024,3,24/07/2024,26/08/2024,3,"Microsoft OS, Python, C#, Razor, PHP, Typescript, JavaScript, HTML, CSS, Azure, Microsoft office suite, Microsoft SharePoint etc.",Other,Government findapprenticeship.service.uk,"Gave a fantastic education that made me stand out from 150 other candidates, both on CV, and in interview. Particularly noted was the skills of self-reliance, solo debugging, & the emotional intelligence workshops.",10/10 keep smashing it,10,2024-09-01 15:05:24,Form,64129801,Promoter
CongratsForm838,Oct 23,Islington Council,Software Developer,51000,London,30/08/2024,5,31/08/2024,01/10/2024,5,".Net, python, Granicus platform",Apply direct on company website,,Good theoretical understanding that I could translate into other tech stacks,Encourage students to look at public sector,10,2024-08-31 11:44:07,Form,63944001,Promoter
CongratsForm837,r1-foundations-dfe (January 2024),ONYX InSight,Software Application Engineer,35000,Nottingham,09/08/2024,5,21/08/2024,19/09/2024,4,Python (Django) initially with opportunities in C# (.NET) at a later stage.,Personal contact/referral,,"The workshops, check-ins, interview practice, sounding board, covering letter help, emotional support, everything. I couldn't imagine having gone through this process without Makers.","I honestly don't know what more Makers could do short of actually making the job applications for me... having said that, the Hackathon is a good idea to get people to enjoy coding again and to gain experience working in a team.",10,2024-08-27 12:18:03,Form,55674901,Promoter
CongratsForm836,Jan 24,SeedLegals,Associate Software Engineer (FE),65000,"London, UK",02/08/2024,0,02/08/2024,06/05/2024,0,"kotlin, typescript, html, pug, scss, sql, graphQL, redis, github, circleCI, angular, ngrx, redux",Other,I was already working for this company as a product manager before I started at Makers. The company suggested the Makers bootcamp as precursor to starting a role in the tech team. I had a 3 month trial period as an Associate Software Engineer on my return to work after the bootcamp which I passed.,The materials on the course gave me a great foundation for working as an associate engineer - my colleagues were impressed by how much I was able to do on my return to work.,n/a,10,2024-08-20 16:23:00,Form,67106901,Promoter
CongratsForm835,,Supply25,Delivery Lead,32250,London,07/08/2024,8,07/08/2024,12/08/2024,8,I'm not involved in the Tech,Job Board,,You have been very supportive throughout my whole journey at Makers! I will be forever greatful!,I cannot think of an improvement. You're doing a great job!,10,2024-08-20 13:29:24,Form,44743851,Promoter
CongratsForm834,jan-2024-software-dev-r1,My NDPA,Full Stack Developer,24000,London,24/07/2024,10,25/07/2024,25/07/2024,10,"Node.JS, PostgreSQL, React Native, WordPress, Azure, Jira",Job Board,,"training, cv support, available offices for alumni","I don't know, the market is really tough right now",7,2024-08-12 13:44:11,Form,64655601,Passive
CongratsForm833,March 2024,Elsivier,Junior Data Engineer,33000,London,07/08/2024,2,09/08/2024,16/09/2024,2,Big Data Processing,MA Hiring Partner,,Found the opportunity and provided interview prep help, -,10,2024-08-12 10:28:26,Form,67828601,Promoter
CongratsForm832,Oct 2023,Conference Badges,Events Techician,28000,London,08/08/2024,4,09/08/2024,14/08/2024,4,"JavaScript, Python, MySQL, HTML/CSS, Excel, API Integrations",Recruiter,,Provided accessible support and pre-interview preparation,N/A,9,2024-08-09 10:41:17,Form,61383851,Promoter
CongratsForm831,QE March 2024;SD May 2022. Also trainee coach ~ Oct 22 - March 23.,RemitONE,QA Engineer,30000,"London, UK",27/06/2024,1,27/06/2024,01/07/2024,1,"Cucumber, Java, JUnit, Docker, GitLab, PHP, Flutter, Dart, CSS, HTML",Personal contact/referral,,Everything. 100% wall-to-wall brilliance. Quote me on that!,"Support changed quite a lot even in the months I was using it. Anything that can make the job-hunting process fun would be helpful, I think!",10,2024-08-04 14:07:29,Form,46133951,Promoter
CongratsForm830,March 2024 On-site,The Met Office,Junior Developer,29000,"Exeter, UK",25/07/2024,1,25/07/2024,19/08/2024,1,"Full stack - front end web development, back end development, infrastructure",Apply direct on company website,,"Gave me an excellent grounding in the principles of modern software development, including exposure to several languages",I can't really comment as I didn't end up drawing on it a whole lot.,10,2024-07-27 18:29:19,Form,68041601,Promoter
CongratsForm829,July-2023,"Ministry of Housing, communities and Local Government (formally DLUHC)",Junior Software Developer at HEO grade,39675,London,18/03/2024,4,18/03/2024,22/07/2024,4,Java,Apply direct on company website,,"Project deliveries, exercise drills, day to day support from instructors","To ensure that everyone has at least one opportunity for a live interview. I understand that every application has its own merits. However, some candidates may never gain confidence without the chance to face the interview panel.",8,2024-07-18 16:37:46,Form,60132651,Passive
CongratsForm828,October 2023,Illuma Technology,Software Engineer,38000,London,10/07/2024,2,11/07/2024,22/07/2024,2,python and react/typescript,Apply direct on company website,,mock interviews,more regular official checkups,9,2024-07-15 08:38:18,Form,63511801,Promoter
CongratsForm827,Oct-2023,Studios bit 54,Junior Web Developer,32000,London,01/07/2024,6,02/07/2024,16/07/2024,6,"Javascript, Html, CSS, Figma",Other,Makers Alumni Slack,"Very supportive community, good technical skills were taught, lots of help from coaches during the bootcamp","Have a clearer guidance on what to do once the bootcamp finishes. Lauren was amazing, but it took a while for me to meet her so I felt like I had a hard time knowing what to focus on once the bootcamp was done.",9,2024-07-09 13:03:02,Form,61945801,Promoter
CongratsForm826,January hybrid 2024,Test Evolve,Test Engineer,32000,London,27/06/2024,1,28/06/2024,15/07/2024,2,"Python, Javascript, testing frameworks such as Selenium, Cypress",MA Hiring Partner,,Setting up regular coaching sessions,"Regular check ins with graduates, more certainty about best approaches e.g. quality vs quantity",7,2024-07-01 17:43:28,Form,17270018795,Passive
CongratsForm825,September 2023 Software Development,Test Evolve,Test Engineer,34000,"London, UK",27/06/2024,5,27/06/2024,15/07/2024,5,"Javascript, Ruby, Python, Selenium, Cypress, Playwright",MA Hiring Partner,,General support with CV writing and preparing for interviews both cultural and technical,I'd say having a wider range of job opportunities,9,2024-06-29 16:03:11,Form,60730151,Promoter
